key,name,max.round,pct.first.serve.in,aces,double.faults,unforced.errors,1st.serve.win.pct,2nd.serve.win.pct,winners,receiving.pts.won,break.point.conv,net.approaches,total.points.won,fastest.serve.speed,ave.1st.serve.speed,ave.2nd.serve.speed,sets.played,tie.breaks.played,total.games,return.games.won,server.points.won,tournament,SPW.by.TG,RGW.by.TG,W.by.UE
atpa596,Pablo Andujar,1,57,1,5,5,65,32,1,26,0,NA,63,NA,NA,NA,3,0,24,NA,NA,AUS.2013,NA,NA,0.2
atpa789,Maxime Authom,1,59,4,6,6,69,50,4,34,56,NA,134,NA,NA,NA,4,2,41,5,86,AUS.2013,2.097560976,0.12195122,0.666666667
atpb842,Alex Bogomolov Jr.,1,73,3,3,3,62,48,3,36,36,NA,162,NA,NA,NA,5,2,52,5,104,AUS.2013,2,0.096153846,1
atpba53,Jamie Baker,1,67,8,1,1,70,42,8,29,67,NA,94,NA,NA,NA,3,1,33,2,66,AUS.2013,2,0.060606061,8
atpba77,Arnau Brugues-Davi,1,51,3,2,2,66,55,3,21,0,NA,65,NA,NA,NA,3,0,27,0,49,AUS.2013,1.814814815,0,1.5
atpba98,Simone Bolelli,1,56,3,3,44,58,53,23,33,40,62,89,127.381055,112.468151,92.584279,3,0,31,2,55,AUS.2013,1.774193548,0.064516129,0.522727273
atpbd20,Thomaz Bellucci,1,56,4,8,8,63,37,4,34,17,NA,73,NA,NA,NA,3,0,25,1,44,AUS.2013,1.76,0.04,0.5
atpbe54,Ruben Bemelmans,1,62,14,5,5,66,54,14,38,50,NA,210,NA,NA,NA,5,1,62,7,127,AUS.2013,2.048387097,0.112903226,2.8
atpbh09,Aljaz Bedene,1,56,11,6,6,65,48,11,36,45,NA,131,NA,NA,NA,4,1,44,5,81,AUS.2013,1.840909091,0.113636364,1.833333333
atpc723,Flavio Cipolla,1,63,1,6,6,50,32,1,37,33,NA,64,NA,NA,NA,3,0,24,2,33,AUS.2013,1.375,0.083333333,0.166666667
atpd632,Steve Darcis,1,54,0,4,25,63,57,20,23,0,61,66,113.710893,107.497183,86.99194,3,0,27,0,48,AUS.2013,1.777777778,0,0.8
atpd801,Alexandr Dolgopolov,1,56,7,5,55,67,53,46,29,57,61,128,132.352023,116.196377,90.720166,4,2,44,4,85,AUS.2013,1.931818182,0.090909091,0.836363636
atpd875,Grigor Dimitrov,1,64,5,1,1,56,56,5,25,33,NA,74,NA,NA,NA,3,0,28,1,55,AUS.2013,1.964285714,0.035714286,5
atpe690,Matthew Ebden,1,62,13,7,57,75,51,63,37,22,70,171,126.138313,111.225409,85.127827,5,2,53,4,98,AUS.2013,1.849056604,0.075471698,1.105263158
atpf510,Fabio Fognini,1,57,6,5,5,61,45,6,36,56,NA,117,NA,NA,NA,5,0,40,5,70,AUS.2013,1.75,0.125,1.2
atpg476,Guillermo Garcia-Lopez,1,55,12,4,4,71,46,12,33,33,NA,109,NA,NA,NA,4,0,37,NA,NA,AUS.2013,NA,NA,3
atpg725,Santiago Giraldo,1,69,3,3,55,67,43,42,35,36,74,119,123.652829,106.254441,80.156859,4,0,40,NA,NA,AUS.2013,NA,NA,0.763636364
atpgb88,David Goffin,1,61,6,12,54,71,44,28,33,38,64,128,123.652829,108.739925,92.584279,5,0,47,5,78,AUS.2013,1.659574468,0.106382979,0.518518519
atph355,Tommy Haas,1,54,17,8,83,68,57,64,36,42,63,179,123.652829,114.953635,100.040731,5,1,56,5,111,AUS.2013,1.982142857,0.089285714,0.771084337
atph432,Lleyton Hewitt,1,49,5,3,48,68,43,40,33,60,65,106,121.167345,105.011699,85.127827,3,1,34,3,70,AUS.2013,2.058823529,0.088235294,0.833333333
atph528,Victor Hanescu,1,67,6,3,38,63,46,29,32,33,54,111,123.031458,112.468151,90.720166,4,1,38,2,71,AUS.2013,1.868421053,0.052631579,0.763157895
atph571,Jan Hajek,1,66,3,1,40,62,52,24,24,20,50,102,123.652829,106.254441,83.263714,4,1,37,1,75,AUS.2013,2.027027027,0.027027027,0.6
atph756,Robin Haase,1,49,2,1,35,55,38,18,33,29,56,56,125.516942,114.332264,97.555247,3,0,25,2,31,AUS.2013,1.24,0.08,0.514285714
atpj386,Steve Johnson,1,59,21,8,61,79,37,59,26,40,61,144,129.245168,118.06049,98.176618,5,2,54,2,102,AUS.2013,1.888888889,0.037037037,0.967213115
atpk336,Ivo Karlovic,1,63,16,4,4,74,51,16,27,0,NA,101,NA,NA,NA,3,1,35,0,72,AUS.2013,2.057142857,0,4
atpk540,Lukasz Kubot,1,59,4,4,4,75,36,4,37,27,NA,145,NA,NA,NA,5,1,49,4,84,AUS.2013,1.714285714,0.081632653,1
atpk926,Mikhail Kukushkin,1,55,1,4,4,45,39,1,26,0,NA,48,NA,NA,NA,3,0,22,0,31,AUS.2013,1.409090909,0,0.25
atpk966,Martin Klizan,1,62,13,1,1,74,59,13,22,33,NA,89,NA,NA,NA,4,0,37,1,67,AUS.2013,1.810810811,0.027027027,13
atpl428,Michael Llodra,1,55,5,3,28,66,58,20,24,0,54,74,129.245168,116.817748,100.662102,3,0,30,0,53,AUS.2013,1.766666667,0,0.714285714
atpl503,Paolo Lorenzi,1,65,5,3,38,76,43,38,31,43,67,124,130.48791,114.332264,86.370569,4,1,41,3,82,AUS.2013,2,0.073170732,1
atpm824,Albert Montanes,1,64,6,5,31,62,38,23,22,100,60,63,121.788716,105.011699,84.506456,3,0,27,NA,NA,AUS.2013,NA,NA,0.741935484
atpm850,Paul-Henri Mathieu,1,67,5,4,32,72,39,27,19,0,57,68,124.2742,113.089522,98.176618,3,0,30,0,53,AUS.2013,1.766666667,0,0.84375
atpm915,Daniel Munoz-De La Nava,1,50,5,6,39,76,54,31,25,0,75,111,117.439119,106.875812,89.477424,4,1,41,0,81,AUS.2013,1.975609756,0,0.794871795
atpma21,Juan Monaco,1,61,1,3,46,35,48,9,40,36,50,72,118.681861,98.797989,85.127827,3,1,27,4,30,AUS.2013,1.111111111,0.148148148,0.195652174
atpma30,Gilles Muller,1,57,10,7,7,75,44,10,25,14,NA,84,NA,NA,NA,3,1,31,1,59,AUS.2013,1.903225806,0.032258065,1.428571429
atpmb53,Adrian Menendez-Maceiras,1,61,12,4,4,67,43,12,30,25,NA,119,NA,NA,NA,4,2,41,1,79,AUS.2013,1.926829268,0.024390244,3
atpmd56,Leonardo Mayer,1,63,4,2,22,66,42,18,19,0,48,52,130.48791,121.788716,106.254441,3,0,26,0,40,AUS.2013,1.538461538,0,0.818181818
atpme05,Marinko Matosevic,1,48,2,8,40,70,50,19,30,0,60,86,121.788716,114.953635,91.341537,3,0,30,0,53,AUS.2013,1.766666667,0,0.475
atpme82,Adrian Mannarino,1,59,4,5,35,53,40,20,17,0,70,39,124.2742,112.468151,98.797989,3,0,23,NA,NA,AUS.2013,NA,NA,0.571428571
atpmh30,John Millman,1,61,17,10,80,69,43,38,43,53,67,165,123.031458,111.225409,91.341537,5,0,47,8,92,AUS.2013,1.957446809,0.170212766,0.475
atpmk40,Benjamin Mitchell,1,55,14,9,71,69,54,56,34,31,52,199,128.623797,112.468151,84.506456,5,1,59,5,129,AUS.2013,2.186440678,0.084745763,0.788732394
atpo264,Josselin Ouanna,1,58,13,8,8,75,44,13,32,0,NA,103,NA,NA,NA,3,0,32,0,66,AUS.2013,2.0625,0,1.625
atpp436,Bjorn Phau,1,51,2,2,2,64,39,2,36,7,NA,75,NA,NA,NA,3,0,26,1,40,AUS.2013,1.538461538,0.038461538,1
atppc11,Guido Pella,1,65,6,2,2,65,50,6,30,33,NA,86,NA,NA,NA,3,1,33,2,55,AUS.2013,1.666666667,0.060606061,3
atppd31,Benoit Paire,1,60,8,8,27,64,33,21,25,0,38,63,126.759684,114.953635,88.234682,3,0,25,0,46,AUS.2013,1.84,0,0.777777778
atpr368,Michael Russell,1,74,1,2,42,61,38,16,32,25,71,81,118.06049,103.147586,86.99194,3,0,30,2,51,AUS.2013,1.7,0.066666667,0.380952381
atpr383,Ruben Ramirez Hidalgo,1,57,9,3,3,67,32,9,25,33,NA,67,NA,NA,NA,4,0,32,1,45,AUS.2013,1.40625,0.03125,3
atpr397,Olivier Rochus,1,60,0,2,31,59,47,23,27,40,71,65,106.875812,100.662102,83.885085,3,0,27,2,46,AUS.2013,1.703703704,0.074074074,0.741935484
atpr419,Tommy Robredo,1,57,14,3,3,78,58,14,34,17,NA,146,NA,NA,NA,4,2,46,NA,NA,AUS.2013,NA,NA,4.666666667
atpr772,Albert Ramos,1,62,5,9,78,75,41,52,37,21,71,186,119.303232,104.390328,88.856053,5,2,54,4,119,AUS.2013,2.203703704,0.074074074,0.666666667
atpr782,Julian Reister,1,76,2,4,4,55,41,2,37,50,NA,108,NA,NA,NA,4,1,38,4,63,AUS.2013,1.657894737,0.105263158,0.5
atpsc56,Dudi Sela,1,66,1,2,2,62,48,1,38,16,NA,118,NA,NA,NA,4,0,37,3,67,AUS.2013,1.810810811,0.081081081,0.5
atpsc77,Sergiy Stakhovsky,1,72,6,2,2,64,58,6,25,0,NA,98,NA,NA,NA,3,1,33,0,72,AUS.2013,2.181818182,0,3
atpsf36,Igor Sijsling,1,59,7,0,0,65,53,7,27,50,NA,98,NA,NA,NA,4,0,37,2,70,AUS.2013,1.891891892,0.054054054,Inf
atpsj55,John-Patrick Smith,1,60,2,1,1,55,52,2,32,25,NA,73,NA,NA,NA,3,0,27,2,44,AUS.2013,1.62962963,0.074074074,2
atpsk94,Cedrik-Marcel Stebe,1,67,0,2,2,56,63,0,27,0,NA,64,NA,NA,NA,3,0,27,0,42,AUS.2013,1.555555556,0,0
atpsm09,Luke Saville,1,62,8,7,54,53,48,41,35,60,59,108,123.031458,109.982667,92.584279,4,1,39,3,62,AUS.2013,1.58974359,0.076923077,0.759259259
atpt840,Viktor Troicki,1,60,16,4,4,66,44,16,37,33,NA,164,NA,NA,NA,5,0,52,NA,NA,AUS.2013,NA,NA,4
atpu061,Adrian Ungur,1,60,3,5,5,68,39,3,29,0,NA,82,NA,NA,NA,3,0,28,0,54,AUS.2013,1.928571429,0,0.6
atpv254,Filippo Volandri,1,65,1,1,53,56,50,21,32,60,51,86,114.953635,102.526215,83.263714,4,0,33,3,55,AUS.2013,1.666666667,0.090909091,0.396226415
atpw522,Rhyne Williams,1,60,15,8,8,77,46,15,34,27,NA,148,NA,NA,NA,5,1,45,3,98,AUS.2013,2.177777778,0.066666667,1.875
atpw571,Di Wu,1,57,4,6,53,64,46,35,39,42,61,128,122.410087,102.526215,86.99194,4,0,40,5,74,AUS.2013,1.85,0.125,0.660377358
atpz184,Horacio Zeballos,1,66,6,2,2,63,50,6,24,0,NA,62,NA,NA,NA,3,0,26,0,45,AUS.2013,1.730769231,0,3
atpz189,Grega Zemlja,1,58,7,4,4,68,43,7,29,33,NA,82,NA,NA,NA,3,2,27,2,57,AUS.2013,2.111111111,0.074074074,1.75
atpb884,Carlos Berlocq,2,62,6.5,7.5,24.5,67,43,17,36,46.5,62,111,128.623797,114.953635,91.962908,3.5,1.5,35.5,3.5,66.5,AUS.2013,1.873239437,0.098591549,0.855555556
atpb896,Benjamin Becker,2,50,13,5,15,72,45.5,24.5,32,23.5,73,101.5,132.352023,121.167345,95.691134,3.5,0.5,35,3.5,63,AUS.2013,1.8,0.1,1.860248447
