key,name,max.round,pct.first.serve.in,aces,double.faults,unforced.errors,1st.serve.win.pct,2nd.serve.win.pct,winners,receiving.pts.won,break.point.conv,net.approaches,total.points.won,fastest.serve.speed,ave.1st.serve.speed,ave.2nd.serve.speed,sets.played,tie.breaks.played,total.games,return.games.won,server.points.won,tournament,SPW.by.TG,RGW.by.TG,W.by.UE
wta010230,Greta Arn,1,42,3,3,3,68,33,3,28,0,NA,38,NA,NA,NA,2,0,16,0,25,AUS.2013,1.5625,0,1
wta010334,Sofia Arvidsson,1,69,5,1,1,57,54,5,36,43,NA,72,NA,NA,NA,2,1,23,3,43,AUS.2013,1.869565217,0.130434783,5
wta020693,Nina Bratchikova,1,66,1,1,1,64,45,1,25,100,NA,50,NA,NA,NA,2,0,19,1,37,AUS.2013,1.947368421,0.052631579,1
wta030557,Melinda Czink,1,67,4,3,22,57,12,17,33,100,56,39,103.147586,91.962908,83.263714,2,0,15,1,22,AUS.2013,1.466666667,0.066666667,0.772727273
wta040300,Lourdes Dominguez Lino,1,60,2,1,18,51,35,9,25,0,50,36,103.147586,93.20565,73.943149,2,0,15,NA,NA,AUS.2013,NA,NA,0.5
wta070471,Edina Gallovits-Hall,1,53,0,8,19,35,22,1,21,0,100,18,97.555247,88.856053,79.535488,2,0,12,0,11,AUS.2013,0.916666667,0,0.052631579
wta080394,Daniela Hantuchova,1,65,1,1,1,63,41,1,37,20,NA,70,NA,NA,NA,3,0,21,2,35,AUS.2013,1.666666667,0.095238095,1
wta080459,Andrea Hlavackova,1,52,4,6,6,61,30,4,29,50,NA,42,NA,NA,NA,2,0,15,1,29,AUS.2013,1.933333333,0.066666667,0.666666667
wta100162,Mathilde Johansson,1,65,0,4,4,51,47,0,35,13,NA,51,NA,NA,NA,2,0,18,1,27,AUS.2013,1.5,0.055555556,0
wta120323,Mirjana Lucic-Baroni,1,53,2,5,5,71,49,2,30,33,NA,70,NA,NA,NA,2,1,23,1,48,AUS.2013,2.086956522,0.043478261,0.4
wta130611,Anabel Medina Garrigues,1,63,1,1,27,56,26,14,35,20,83,54,101.283473,93.20565,74.56452,2,0,18,2,23,AUS.2013,1.277777778,0.111111111,0.518518519
wta160379,Nadia Petrova,1,60,3,3,38,41,32,9,36,20,50,37,112.468151,103.147586,83.263714,2,0,14,1,18,AUS.2013,1.285714286,0.071428571,0.236842105
